Кластер;Запрос;Частотность (базовая);Частотность ("!точная")
Антидроновые сетки;антидроновая сетка;4088;792
Антидроновые сетки;сетка от бпла;1987;166
Антидроновые сетки;сетка от дронов;1687;85
Антидроновые сетки;защитная сетка от бпла;894;456
Антидроновые сетки;сетка против дронов;448;31
Антидроновые сетки;защитные сетки от дронов;436;14
Антидроновые сетки;антидроновая сетка купить;337;138
Антидроновые сетки;защитная сетка от бпла и дронов;222;100
Антидроновые сетки;сетка антидроновая полиамидная;148;36
Антидроновые сетки;полиамидная сетка для защиты от бпла;115;50
Антидроновые сетки;сетка против бпла;100;6
Антидроновые сетки;сетка от дронов на здание;68;42
Антидроновые сетки;сетка против дронов защитная;56;29
Антидроновые сетки;антидроновая защита объекта сеткой;37;25
Защита от БПЛА;защита от бпла;7124;372
Защита от БПЛА;защита объектов от бпла;1009;47
Защита от БПЛА;защита объекта от бпла;994;32
Защита от БПЛА;пассивная защита от бпла;537;80
Защита от БПЛА;средства защиты от бпла;461;17
Защита от БПЛА;система защиты от бпла;377;26
Защита от БПЛА;защита зданий от бпла;246;44
Защита от БПЛА;комплекс защиты от бпла;157;14
Защита от БПЛА;защита резервуаров от бпла;144;36
Защита от БПЛА;защита от бпла купить;91;6
Защита от БПЛА;сп защита от бпла;77;42
Защита от БПЛА;защита от бпла купол;63;10
Защита от БПЛА;защита гражданских объектов от бпла;46;2
Защита от БПЛА;стальной купол защита от бпла;29;26
Защита от дронов;защита от дронов;5042;341
Защита от дронов;система защиты от дронов;204;11
Защита от дронов;защита объектов от дронов;173;16
Защита от дронов;средства защиты от дронов;139;5
Защита от дронов;защита от дронов купить;105;3
Защита от дронов;защита предприятия от дронов;88;21
Защита от дронов;защита техники от дронов;86;12
Защита от дронов;защита от дронов и квадрокоптеров;77;25
Защита от дронов;защита от атаки дронов;63;0
Защита от дронов;защита от дронов камикадзе;59;0
Защита от дронов;защита заводов от дронов;21;1
Защита от дронов;защита территории от дронов;18;0
Защита от дронов;защита объектов тэк от дронов и бпла;14;11
Защита от дронов;защита частных домов от дронов;9;0
Защита от дронов;защита участка от дронов;6;0
Защита от беспилотников;защита от беспилотников;1424;45
Защита от беспилотников;защита объектов от беспилотников;111;5
Защита от беспилотников;защита от беспилотников и дронов;75;26
Антидроновая защита;антидроновая защита;2051;249
Антидроновая защита;антидроновая защита зданий и сооружений;170;125
Антидроновая защита;антидроновая защита объекта;150;24
Купола;купол от дронов;188;25
Купола;купол против дронов;68;16
Купола;система купол против дронов;48;31
Купола;антидроновый купол;30;7
Купола;купол для защиты от дронов;16;7
Купола;антидроновый купол купить;4;4
Нормативы и B2B;сп 542;310;183
Нормативы и B2B;нпз защита;471;15
Нормативы и B2B;защита подстанций от проникновения;19;1
Нормативы и B2B;защита аэропортов от бпла;41;8
Нормативы и B2B;защита аэс от бпла;2;0
